original_title,overview,genres,keywords,popularity,cast,director,content
Jack the Giant Slayer,the story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants unleashed on the earth for the first time in centuries the giants strive to reclaim the land they once lost forcing the young man jack into the battle of his life to stop them fighting for a kingdom its people and the love of a brave princess he comes face to face with the unstoppable warriors he thought only existed in legendand gets the chance to become a legend himself,action family fantasy,based on fairy tale giant,43.349855,nicholas hoult eleanor tomlinson ewan mcgregor stanley tucci ian mcshane,bryan singer,the story of an ancient war that is reignited when a young farmhand unwittingly opens a gateway between our world and a fearsome race of giants unleashed on the earth for the first time in centuries the giants strive to reclaim the land they once lost forcing the young man jack into the battle of his life to stop them fighting for a kingdom its people and the love of a brave princess he comes face to face with the unstoppable warriors he thought only existed in legendand gets the chance to become a legend himself action family fantasy based on fairy tale giant nicholas hoult eleanor tomlinson ewan mcgregor stanley tucci ian mcshane bryan singer
The Great Gatsby,an adaptation of f scott fitzgeralds long islandset novel where midwesterner nick carraway is lured into the lavish world of his neighbor jay gatsby soon enough however carraway will see through the cracks of gatsbys nouveau riche existence where obsession madness and tragedy await,drama romance,based on novel infidelity obsession hope 3d,61.196071,leonardo dicaprio tobey maguire carey mulligan joel edgerton elizabeth debicki,baz luhrmann,an adaptation of f scott fitzgeralds long islandset novel where midwesterner nick carraway is lured into the lavish world of his neighbor jay gatsby soon enough however carraway will see through the cracks of gatsbys nouveau riche existence where obsession madness and tragedy await drama romance based on novel infidelity obsession hope 3d leonardo dicaprio tobey maguire carey mulligan joel edgerton elizabeth debicki baz luhrmann
Prince of Persia: The Sands of Time,a rogue prince reluctantly joins forces with a mysterious princess and together they race against dark forces to safeguard an ancient dagger capable of releasing the sands of time gift from the gods that can reverse time and allow its possessor to rule the world,adventure fantasy action romance,persia sandstorm brother against brother armageddon regent based on video game,62.169881,jake gyllenhaal gemma arterton ben kingsley alfred molina steve toussaint,mike newell,a rogue prince reluctantly joins forces with a mysterious princess and together they race against dark forces to safeguard an ancient dagger capable of releasing the sands of time gift from the gods that can reverse time and allow its possessor to rule the world adventure fantasy action romance persia sandstorm brother against brother armageddon regent based on video game jake gyllenhaal gemma arterton ben kingsley alfred molina steve toussaint mike newell
Pacific Rim,when legions of monstrous creatures known as kaiju started rising from the sea a war began that would take millions of lives and consume humanitys resources for years on end to combat the giant kaiju a special type of weapon was devised massive robots called jaegers which are controlled simultaneously by two pilots whose minds are locked in a neural bridge but even the jaegers are proving nearly defenseless in the face of the relentless kaiju on the verge of defeat the forces defending mankind have no choice but to turn to two unlikely heroesa washedup former pilot charlie hunnam and an untested trainee rinko kikuchiwho are teamed to drive a legendary but seemingly obsolete jaeger from the past together they stand as mankinds last hope against the mounting apocalypse,action science fiction adventure,dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d,56.523205,idris elba charlie hunnam charlie day ron perlman burn gorman,guillermo del toro,when legions of monstrous creatures known as kaiju started rising from the sea a war began that would take millions of lives and consume humanitys resources for years on end to combat the giant kaiju a special type of weapon was devised massive robots called jaegers which are controlled simultaneously by two pilots whose minds are locked in a neural bridge but even the jaegers are proving nearly defenseless in the face of the relentless kaiju on the verge of defeat the forces defending mankind have no choice but to turn to two unlikely heroesa washedup former pilot charlie hunnam and an untested trainee rinko kikuchiwho are teamed to drive a legendary but seemingly obsolete jaeger from the past together they stand as mankinds last hope against the mounting apocalypse action science fiction adventure dystopia giant robot giant monster apocalypse imax duringcreditsstinger 3d idris elba charlie hunnam charlie day ron perlman burn gorman guillermo del toro
Transformers: Dark of the Moon,sam witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of autobotleader optimus prime the film centers around the space race between the ussr and the usa suggesting there was a hidden transformers role in it all that remains one of the planets most dangerous secrets,action science fiction adventure,moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger,28.529607,shia labeouf john malkovich ken jeong frances mcdormand josh duhamel,michael bay,sam witwicky takes his first tenuous steps into adulthood while remaining a reluctant human ally of autobotleader optimus prime the film centers around the space race between the ussr and the usa suggesting there was a hidden transformers role in it all that remains one of the planets most dangerous secrets action science fiction adventure moon spacecraft traitor bodyguard alien planet based on cartoon transformers giant robot sabotage word domination commando duringcreditsstinger shia labeouf john malkovich ken jeong frances mcdormand josh duhamel michael bay
Indiana Jones and the Kingdom of the Crystal Skull,set during the cold war the soviets led by swordwielding irina spalko are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold after being captured and then escaping from them indy is coerced to head to peru at the behest of a young man whose friend and indys colleague professor oxley has been captured for his knowledge of the skulls whereabouts,adventure action,saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology,75.674458,harrison ford cate blanchett shia labeouf ray winstone karen allen,steven spielberg,set during the cold war the soviets led by swordwielding irina spalko are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold after being captured and then escaping from them indy is coerced to head to peru at the behest of a young man whose friend and indys colleague professor oxley has been captured for his knowledge of the skulls whereabouts adventure action saving the world riddle whip treasure mexico city leather jacket machinegun alien phenomenons maya civilization peru treasure hunt nuclear explosion refrigerator archaeologist indiana jones archeology harrison ford cate blanchett shia labeouf ray winstone karen allen steven spielberg
The Good Dinosaur,an epic journey into the world of dinosaurs where an apatosaurus named arlo makes an unlikely human friend,adventure animation family,tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey,51.692953,raymond ochoa jack bright jeffrey wright frances mcdormand maleah nipaypadilla,peter sohn,an epic journey into the world of dinosaurs where an apatosaurus named arlo makes an unlikely human friend adventure animation family tyrannosaurus rex friends alternate history dinosaur fear storm nature human journey raymond ochoa jack bright jeffrey wright frances mcdormand maleah nipaypadilla peter sohn
Brave,brave is set in the mystical scottish highlands where mérida is the princess of a kingdom ruled by king fergus and queen elinor an unruly daughter and an accomplished archer mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom in an attempt to set things right mérida seeks out an eccentric old wise woman and is granted an illfated wish also figuring into méridas quest and serving as comic relief are the kingdoms three lords the enormous lord macguffin the surly lord macintosh and the disagreeable lord dingwall,animation adventure comedy family action fantasy,scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d,125.114374,kelly macdonald julie walters billy connolly emma thompson kevin mckidd,brenda chapman,brave is set in the mystical scottish highlands where mérida is the princess of a kingdom ruled by king fergus and queen elinor an unruly daughter and an accomplished archer mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom in an attempt to set things right mérida seeks out an eccentric old wise woman and is granted an illfated wish also figuring into méridas quest and serving as comic relief are the kingdoms three lords the enormous lord macguffin the surly lord macintosh and the disagreeable lord dingwall animation adventure comedy family action fantasy scotland rebel bravery kingdom archer wish bear scot rebellious daughter turns into animal archery ruins aftercreditsstinger peace offering woman director courage 3d kelly macdonald julie walters billy connolly emma thompson kevin mckidd brenda chapman
Star Trek Beyond,the uss enterprise crew explores the furthest reaches of uncharted space where they encounter a mysterious new enemy who puts them and everything the federation stands for to the test,action adventure science fiction,sequel stranded hatred space opera,65.352913,chris pine zachary quinto karl urban simon pegg zoe saldana,justin lin,the uss enterprise crew explores the furthest reaches of uncharted space where they encounter a mysterious new enemy who puts them and everything the federation stands for to the test action adventure science fiction sequel stranded hatred space opera chris pine zachary quinto karl urban simon pegg zoe saldana justin lin
WALL·E,walle is the last robot left on an earth that has been overrun with garbage and all humans have fled to outer space for 700 years he has continued to try and clean up the mess but has developed some rather interesting humanlike qualities when a ship arrives with a sleek new type of robot walle thinks hes finally found a friend and stows away on the ship when it leaves,animation family,romantic comedy,66.390712,ben burtt elissa knight jeff garlin fred willard john ratzenberger,andrew stanton,walle is the last robot left on an earth that has been overrun with garbage and all humans have fled to outer space for 700 years he has continued to try and clean up the mess but has developed some rather interesting humanlike qualities when a ship arrives with a sleek new type of robot walle thinks hes finally found a friend and stows away on the ship when it leaves animation family romantic comedy ben burtt elissa knight jeff garlin fred willard john ratzenberger andrew stanton
Rush Hour 3,after an attempted assassination on ambassador han inspector lee and detective carter are back in action as they head to paris to protect a french woman with knowledge of the triads secret leaders lee also holds secret meetings with a united nations authority but his personal struggles with a chinese criminal mastermind named kenji which reveals that its lees longlostbrother,action comedy crime thriller,ambassador,22.57178,chris tucker jackie chan hiroyuki sanada max von sydow yvan attal,brett ratner,after an attempted assassination on ambassador han inspector lee and detective carter are back in action as they head to paris to protect a french woman with knowledge of the triads secret leaders lee also holds secret meetings with a united nations authority but his personal struggles with a chinese criminal mastermind named kenji which reveals that its lees longlostbrother action comedy crime thriller ambassador chris tucker jackie chan hiroyuki sanada max von sydow yvan attal brett ratner
2012,dr adrian helmsley part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms learns that the earths core is heating up he warns us president thomas wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the worlds population the entire race is doomed meanwhile writer jackson curtis stumbles on the same information while the worlds leaders race to build arks to escape the impending cataclysm curtis struggles to find a way to save his family meanwhile volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world,action adventure science fiction,civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction of mankind,45.274225,john cusack amanda peet chiwetel ejiofor thandie newton oliver platt,roland emmerich,dr adrian helmsley part of a worldwide geophysical team investigating the effect on the earth of radiation from unprecedented solar storms learns that the earths core is heating up he warns us president thomas wilson that the crust of the earth is becoming unstable and that without proper preparations for saving a fraction of the worlds population the entire race is doomed meanwhile writer jackson curtis stumbles on the same information while the worlds leaders race to build arks to escape the impending cataclysm curtis struggles to find a way to save his family meanwhile volcanic eruptions and earthquakes of unprecedented strength wreak havoc around the world action adventure science fiction civilization natural disaster end of the world disaster apocalypse destruction volcanic eruption mayan ark solar destruction of mankind john cusack amanda peet chiwetel ejiofor thandie newton oliver platt roland emmerich
A Christmas Carol,miser ebenezer scrooge is awakened on christmas eve by spirits who reveal to him his own miserable existence what opportunities he wasted in his youth his current cruelties and the dire fate that awaits him if he does not change his ways scrooge is faced with his own story of growing bitterness and meanness and must decide what his own future will hold death or redemption,animation drama,holiday based on novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas,39.744242,gary oldman jim carrey steve valentine daryl sabara sage ryan,robert zemeckis,miser ebenezer scrooge is awakened on christmas eve by spirits who reveal to him his own miserable existence what opportunities he wasted in his youth his current cruelties and the dire fate that awaits him if he does not change his ways scrooge is faced with his own story of growing bitterness and meanness and must decide what his own future will hold death or redemption animation drama holiday based on novel victorian england money christmas eve scrooge christmas carol ghost lesson charles dickens christmas gary oldman jim carrey steve valentine daryl sabara sage ryan robert zemeckis
Jupiter Ascending,in a universe where human genetic material is the most precious commodity an impoverished young earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty,science fiction fantasy action adventure,jupiter space woman director 3d interspecies romance,85.36908,mila kunis channing tatum sean bean eddie redmayne douglas booth,lilly wachowski,in a universe where human genetic material is the most precious commodity an impoverished young earth woman becomes the key to strategic maneuvers and internal strife within a powerful dynasty science fiction fantasy action adventure jupiter space woman director 3d interspecies romance mila kunis channing tatum sean bean eddie redmayne douglas booth lilly wachowski
The Legend of Tarzan,tarzan having acclimated to life in london is called back to his former home in the jungle to investigate the activities at a mining encampment,action adventure,africa feral child tarzan jungle animal attack,42.741719,alexander skarsgård margot robbie christoph waltz samuel l jackson djimon hounsou,david yates,tarzan having acclimated to life in london is called back to his former home in the jungle to investigate the activities at a mining encampment action adventure africa feral child tarzan jungle animal attack alexander skarsgård margot robbie christoph waltz samuel l jackson djimon hounsou david yates
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",siblings lucy edmund susan and peter step through a magical wardrobe and find the land of narnia there the they discover a charming once peaceful kingdom that has been plunged into eternal winter by the evil white witch jadis aided by the wise and magnificent lion aslan the children lead narnia into a spectacular climactic battle to be free of the witchs glacial powers forever,adventure family fantasy,saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairytale figure battle narnia fantasy world duringcreditsstinger,67.391328,william moseley anna popplewell skandar keynes georgie henley liam neeson,andrew adamson,siblings lucy edmund susan and peter step through a magical wardrobe and find the land of narnia there the they discover a charming once peaceful kingdom that has been plunged into eternal winter by the evil white witch jadis aided by the wise and magnificent lion aslan the children lead narnia into a spectacular climactic battle to be free of the witchs glacial powers forever adventure family fantasy saving the world witch based on novel brother sister relationship self sacrifice winter cupboard beaver lion fairytale figure battle narnia fantasy world duringcreditsstinger william moseley anna popplewell skandar keynes georgie henley liam neeson andrew adamson
X-Men: Apocalypse,after the reemergence of the worlds first mutant worlddestroyer apocalypse the xmen must unite to defeat his extinction level plan,science fiction,mutant supernatural powers marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s,139.272042,james mcavoy michael fassbender jennifer lawrence nicholas hoult oscar isaac,bryan singer,after the reemergence of the worlds first mutant worlddestroyer apocalypse the xmen must unite to defeat his extinction level plan science fiction mutant supernatural powers marvel comic superhero based on comic book superhuman apocalypse superhero team world domination aftercreditsstinger 1980s james mcavoy michael fassbender jennifer lawrence nicholas hoult oscar isaac bryan singer
The Dark Knight,batman raises the stakes in his war on crime with the help of lt jim gordon and district attorney harvey dent batman sets out to dismantle the remaining criminal organizations that plague the streets the partnership proves to be effective but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker,drama action crime thriller,dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman,187.322927,christian bale heath ledger aaron eckhart michael caine maggie gyllenhaal,christopher nolan,batman raises the stakes in his war on crime with the help of lt jim gordon and district attorney harvey dent batman sets out to dismantle the remaining criminal organizations that plague the streets the partnership proves to be effective but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of gotham as the joker drama action crime thriller dc comics crime fighter secret identity scarecrow sadism chaos gotham city vigilante joker superhero based on comic book tragic hero organized crime criminal mastermind district attorney imax super villain super powers batman christian bale heath ledger aaron eckhart michael caine maggie gyllenhaal christopher nolan
Up,carl fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest but at age 78 life seems to have passed him by until a twist of fate and a persistent 8year old wilderness explorer named russell gives him a new lease on life,animation comedy family adventure,age difference central and south america balloon animation floating in the air duringcreditsstinger exploring,92.201962,ed asner christopher plummer jordan nagai bob peterson delroy lindo,pete docter,carl fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest but at age 78 life seems to have passed him by until a twist of fate and a persistent 8year old wilderness explorer named russell gives him a new lease on life animation comedy family adventure age difference central and south america balloon animation floating in the air duringcreditsstinger exploring ed asner christopher plummer jordan nagai bob peterson delroy lindo pete docter
Monsters vs Aliens,when susan murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day she mysteriously grows to 49feet11inches the military jumps into action and captures susan secreting her away to a covert government compound she is renamed ginormica and placed in confinement with a ragtag group of monsters,animation family adventure science fiction,alien giant robot duringcreditsstinger,36.167578,seth rogen reese witherspoon hugh laurie paul rudd kiefer sutherland,conrad vernon,when susan murphy is unwittingly clobbered by a meteor full of outer space gunk on her wedding day she mysteriously grows to 49feet11inches the military jumps into action and captures susan secreting her away to a covert government compound she is renamed ginormica and placed in confinement with a ragtag group of monsters animation family adventure science fiction alien giant robot duringcreditsstinger seth rogen reese witherspoon hugh laurie paul rudd kiefer sutherland conrad vernon
Iron Man,after being held captive in an afghan cave billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil,action science fiction adventure,middle east arms dealer malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe counter terrorism agent coulson,120.725053,robert downey jr terrence howard jeff bridges shaun toub gwyneth paltrow,jon favreau,after being held captive in an afghan cave billionaire engineer tony stark creates a unique weaponized suit of armor to fight evil action science fiction adventure middle east arms dealer malibu marvel comic superhero based on comic book tony stark iron man aftercreditsstinger marvel cinematic universe counter terrorism agent coulson robert downey jr terrence howard jeff bridges shaun toub gwyneth paltrow jon favreau
Hugo,hugo is an orphan boy living in the walls of a train station in 1930s paris he learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running the only thing that he has left that connects him to his dead father is an automaton mechanical man that doesnt work without a special key which hugo needs to find to unlock the secret he believes it contains on his adventures he meets with a shopkeeper george melies who works in the train station and his adventureseeking goddaughter hugo finds that they have a surprising connection to his father and the automaton and he discovers it unlocks some memories the old man has buried inside regarding his past,adventure drama family,library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman 3d,32.319043,ben kingsley sacha baron cohen asa butterfield chloë grace moretz ray winstone,martin scorsese,hugo is an orphan boy living in the walls of a train station in 1930s paris he learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running the only thing that he has left that connects him to his dead father is an automaton mechanical man that doesnt work without a special key which hugo needs to find to unlock the secret he believes it contains on his adventures he meets with a shopkeeper george melies who works in the train station and his adventureseeking goddaughter hugo finds that they have a surprising connection to his father and the automaton and he discovers it unlocks some memories the old man has buried inside regarding his past adventure drama family library clock film director key toy boy love orphan robot automaton hiding filmmaking leg brace doberman 3d ben kingsley sacha baron cohen asa butterfield chloë grace moretz ray winstone martin scorsese
Wild Wild West,legless southern inventor dr arliss loveless plans to rekindle the civil war by assassinating president us grant only two men can stop him gunfighter james west and masterofdisguise and inventor artemus gordon the two must team up to thwart loveless plans,action adventure comedy science fiction western,steampunk based on tv series steam locomotive drag,40.748915,will smith kevin kline kenneth branagh salma hayek m emmet walsh,barry sonnenfeld,legless southern inventor dr arliss loveless plans to rekindle the civil war by assassinating president us grant only two men can stop him gunfighter james west and masterofdisguise and inventor artemus gordon the two must team up to thwart loveless plans action adventure comedy science fiction western steampunk based on tv series steam locomotive drag will smith kevin kline kenneth branagh salma hayek m emmet walsh barry sonnenfeld
The Mummy: Tomb of the Dragon Emperor,archaeologist rick oconnell travels to china pitting him against an emperor from the 2000yearold han dynasty whos returned from the dead to pursue a quest for world domination this time oconnell enlists the help of his wife and son to quash the socalled dragon emperor and his abuse of supernatural power,adventure action fantasy,,60.034162,brendan fraser jet li john hannah maria bello luke ford,rob cohen,archaeologist rick oconnell travels to china pitting him against an emperor from the 2000yearold han dynasty whos returned from the dead to pursue a quest for world domination this time oconnell enlists the help of his wife and son to quash the socalled dragon emperor and his abuse of supernatural power adventure action fantasy  brendan fraser jet li john hannah maria bello luke ford rob cohen
Suicide Squad,from dc comics comes the suicide squad an antihero team of incarcerated supervillains who act as deniable assets for the united states government undertaking highrisk black ops missions in exchange for commuted prison sentences,action adventure crime fantasy science fiction,dc comics shared universe anti hero secret mission villain superhero supervillain dc extended universe,90.23792,will smith margot robbie joel kinnaman viola davis jared leto,david ayer,from dc comics comes the suicide squad an antihero team of incarcerated supervillains who act as deniable assets for the united states government undertaking highrisk black ops missions in exchange for commuted prison sentences action adventure crime fantasy science fiction dc comics shared universe anti hero secret mission villain superhero supervillain dc extended universe will smith margot robbie joel kinnaman viola davis jared leto david ayer
Evan Almighty,god contacts congressman evan baxter and tells him to build an ark in preparation for a great flood,fantasy comedy family,father son relationship daily life married couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noahs ark,27.082182,steve carell lauren graham john goodman jimmy bennett john michael higgins,tom shadyac,god contacts congressman evan baxter and tells him to build an ark in preparation for a great flood fantasy comedy family father son relationship daily life married couple support father marriage faith baustelle rescue animal nature duringcreditsstinger noahs ark steve carell lauren graham john goodman jimmy bennett john michael higgins tom shadyac
Edge of Tomorrow,major bill cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat cage is killed within minutes managing to take an alpha alien down with him he awakens back at the beginning of the same day and is forced to fight and die again and again as physical contact with the alien has thrown him into a time loop,action science fiction,deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton,79.456485,tom cruise emily blunt brendan gleeson bill paxton jonas armstrong,doug liman,major bill cage is an officer who has never seen a day of combat when he is unceremoniously demoted and dropped into combat cage is killed within minutes managing to take an alpha alien down with him he awakens back at the beginning of the same day and is forced to fight and die again and again as physical contact with the alien has thrown him into a time loop action science fiction deja vu time warp restart dystopia war alien military officer soldier alien invasion exoskeleton tom cruise emily blunt brendan gleeson bill paxton jonas armstrong doug liman
Waterworld,in a futuristic world where the polar ice caps have melted and made earth a liquid planet a beautiful barmaid rescues a mutant seafarer from a floating island prison they escape along with her young charge enola and sail off aboard his ship but the trio soon becomes the target of a menacing pirate who covets the map to dryland which is tattooed on enolas back,adventure action,ocean tattoo mutant water dystopia doomsday,44.640292,kevin costner chaim girafi rick aviles r d call zitto kazann,kevin reynolds,in a futuristic world where the polar ice caps have melted and made earth a liquid planet a beautiful barmaid rescues a mutant seafarer from a floating island prison they escape along with her young charge enola and sail off aboard his ship but the trio soon becomes the target of a menacing pirate who covets the map to dryland which is tattooed on enolas back adventure action ocean tattoo mutant water dystopia doomsday kevin costner chaim girafi rick aviles r d call zitto kazann kevin reynolds
G.I. Joe: The Rise of Cobra,from the egyptian desert to deep below the polar ice caps the elite gi joe team uses the latest in nextgeneration spy and military equipment to fight the corrupt arms dealer destro and the growing threat of the mysterious cobra organization to prevent them from plunging the world into chaos,adventure action thriller science fiction,terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra,32.852443,dennis quaid channing tatum marlon wayans sienna miller joseph gordonlevitt,stephen sommers,from the egyptian desert to deep below the polar ice caps the elite gi joe team uses the latest in nextgeneration spy and military equipment to fight the corrupt arms dealer destro and the growing threat of the mysterious cobra organization to prevent them from plunging the world into chaos adventure action thriller science fiction terrorist secret hostage technology warhead government president revenge murder attack explosion scientist lasers evil cobra dennis quaid channing tatum marlon wayans sienna miller joseph gordonlevitt stephen sommers
Inside Out,growing up can be a bumpy road and its no exception for riley who is uprooted from her midwest life when her father starts a new job in san francisco like all of us riley is guided by her emotions joy fear anger disgust and sadness the emotions live in headquarters the control center inside rileys mind where they help advise her through everyday life as riley and her emotions struggle to adjust to a new life in san francisco turmoil ensues in headquarters although joy rileys main and most important emotion tries to keep things positive the emotions conflict on how best to navigate a new city house and school,drama comedy animation family,dream cartoon imaginary friend animation family moving kids unicorn duringcreditsstinger 3d emotions,128.655964,amy poehler phyllis smith richard kind bill hader lewis black,pete docter,growing up can be a bumpy road and its no exception for riley who is uprooted from her midwest life when her father starts a new job in san francisco like all of us riley is guided by her emotions joy fear anger disgust and sadness the emotions live in headquarters the control center inside rileys mind where they help advise her through everyday life as riley and her emotions struggle to adjust to a new life in san francisco turmoil ensues in headquarters although joy rileys main and most important emotion tries to keep things positive the emotions conflict on how best to navigate a new city house and school drama comedy animation family dream cartoon imaginary friend animation family moving kids unicorn duringcreditsstinger 3d emotions amy poehler phyllis smith richard kind bill hader lewis black pete docter
The Jungle Book,after a threat from the tiger shere khan forces him to flee the jungle a mancub named mowgli embarks on a journey of self discovery with the help of panther bagheera and free spirited bear baloo,family adventure drama fantasy,based on novel snake wolf elephant tiger feral child panther remake bear jungle talking animal orphan animal talking to animals,94.199316,neel sethi bill murray ben kingsley idris elba scarlett johansson,jon favreau,after a threat from the tiger shere khan forces him to flee the jungle a mancub named mowgli embarks on a journey of self discovery with the help of panther bagheera and free spirited bear baloo family adventure drama fantasy based on novel snake wolf elephant tiger feral child panther remake bear jungle talking animal orphan animal talking to animals neel sethi bill murray ben kingsley idris elba scarlett johansson jon favreau
Iron Man 2,with the world now aware of his dual life as the armored superhero iron man billionaire inventor tony stark faces pressure from the government the press and the public to share his technology with the military unwilling to let go of his invention stark with pepper potts and james rhodey rhodes at his side must forge new alliances and confront powerful enemies,adventure action science fiction,malibu marvel comic superhero based on comic book revenge aftercreditsstinger marvel cinematic universe,77.300194,robert downey jr gwyneth paltrow don cheadle scarlett johansson mickey rourke,jon favreau,with the world now aware of his dual life as the armored superhero iron man billionaire inventor tony stark faces pressure from the government the press and the public to share his technology with the military unwilling to let go of his invention stark with pepper potts and james rhodey rhodes at his side must forge new alliances and confront powerful enemies adventure action science fiction malibu marvel comic superhero based on comic book revenge aftercreditsstinger marvel cinematic universe robert downey jr gwyneth paltrow don cheadle scarlett johansson mickey rourke jon favreau
Snow White and the Huntsman,after the evil queen marries the king she performs a violent coup in which the king is murdered and his daughter snow white is taken captive almost a decade later a grown snow white is still in the clutches of the queen in order to obtain immortality the evil queen needs the heart of snow white after snow escapes the castle the queen sends the huntsman to find her in the dark forest,adventure fantasy drama,queen magic fairy tale immortality forest deception woman eternal youth snow white evil queen evil stepmother imprisoned sorceress,77.178973,kristen stewart charlize theron chris hemsworth sam claflin ian mcshane,rupert sanders,after the evil queen marries the king she performs a violent coup in which the king is murdered and his daughter snow white is taken captive almost a decade later a grown snow white is still in the clutches of the queen in order to obtain immortality the evil queen needs the heart of snow white after snow escapes the castle the queen sends the huntsman to find her in the dark forest adventure fantasy drama queen magic fairy tale immortality forest deception woman eternal youth snow white evil queen evil stepmother imprisoned sorceress kristen stewart charlize theron chris hemsworth sam claflin ian mcshane rupert sanders
Maleficent,the untold story of disneys most iconic villain from the 1959 classic sleeping beauty a beautiful purehearted young woman maleficent has an idyllic life growing up in a peaceable forest kingdom until one day when an invading army threatens the harmony of the land maleficent rises to be the lands fiercest protector but she ultimately suffers a ruthless betrayal an act that begins to turn her heart into stone bent on revenge maleficent faces an epic battle with the invading kings successor and as a result places a curse upon his newborn infant aurora as the child grows maleficent realizes that aurora holds the key to peace in the kingdom and to maleficents true happiness as well,fantasy adventure action family romance,fairy tale villain sleeping beauty dark fantasy based on fairy tale adaptation retelling literary adaptation 3d,110.620647,angelina jolie elle fanning sharlto copley sam riley juno temple,robert stromberg,the untold story of disneys most iconic villain from the 1959 classic sleeping beauty a beautiful purehearted young woman maleficent has an idyllic life growing up in a peaceable forest kingdom until one day when an invading army threatens the harmony of the land maleficent rises to be the lands fiercest protector but she ultimately suffers a ruthless betrayal an act that begins to turn her heart into stone bent on revenge maleficent faces an epic battle with the invading kings successor and as a result places a curse upon his newborn infant aurora as the child grows maleficent realizes that aurora holds the key to peace in the kingdom and to maleficents true happiness as well fantasy adventure action family romance fairy tale villain sleeping beauty dark fantasy based on fairy tale adaptation retelling literary adaptation 3d angelina jolie elle fanning sharlto copley sam riley juno temple robert stromberg
Dawn of the Planet of the Apes,a group of scientists in san francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity while caesar tries to maintain dominance over his community of intelligent apes,science fiction action drama thriller,leader colony postapocalyptic dystopia forest sequel woods ape scientist monkey medical research animal attack plague 3d,243.791743,andy serkis jason clarke gary oldman keri russell toby kebbell,matt reeves,a group of scientists in san francisco struggle to stay alive in the aftermath of a plague that is wiping out humanity while caesar tries to maintain dominance over his community of intelligent apes science fiction action drama thriller leader colony postapocalyptic dystopia forest sequel woods ape scientist monkey medical research animal attack plague 3d andy serkis jason clarke gary oldman keri russell toby kebbell matt reeves
The Lovers,the lovers is an epic romance time travel adventure film helmed by roland joffé from a story by ajey jhankar the film is a sweeping tale of an impossible love set against the backdrop of the first anglomaratha war across two time periods and continents and centred around four characters a british officer in 18th century colonial india the indian woman he falls deeply in love with an american presentday marine biologist and his wife,action adventure science fiction romance,,2.418535,josh hartnett simone kessell tamsin egerton alice englert bipasha basu,roland joffé,the lovers is an epic romance time travel adventure film helmed by roland joffé from a story by ajey jhankar the film is a sweeping tale of an impossible love set against the backdrop of the first anglomaratha war across two time periods and continents and centred around four characters a british officer in 18th century colonial india the indian woman he falls deeply in love with an american presentday marine biologist and his wife action adventure science fiction romance  josh hartnett simone kessell tamsin egerton alice englert bipasha basu roland joffé
